DependencyCount, ThrowsException, ModifiesParameters, UnknownMethod, ModifiesLocalState, ReadsLocalState, ModifiesGlobalState, ReadsGlobalState, Bug
4, 0, 0, 1, 0, 3, 0, 0, 0
36, 0, 0, 8, 2, 19, 0, 0, 0
8, 0, 0, 1, 0, 1, 0, 0, 0
4, 0, 0, 2, 0, 2, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
2, 0, 0, 1, 0, 2, 0, 0, 0
12, 0, 0, 2, 0, 7, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
16, 1, 0, 5, 3, 12, 0, 0, 0
0, 0, 0, 0, 2, 0, 0, 0, 0
48, 1, 0, 13, 8, 35, 0, 0, 0
2, 0, 0, 1, 1, 1, 0, 0, 0
124, 1, 0, 28, 12, 76, 0, 0, 0
0, 0, 0, 0, 2, 0, 0, 0, 0
94, 1, 0, 22, 13, 58, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
0, 0, 0, 0, 2, 0, 0, 0, 0
48, 1, 0, 13, 8, 35, 0, 0, 0
16, 0, 0, 3, 0, 10, 0, 1, 0
10, 0, 0, 2, 0, 7, 0, 1, 0
24, 0, 0, 6, 3, 11, 0, 1, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
16, 0, 0, 8, 0, 7, 0, 3, 0
450, 4, 0, 101, 44, 268, 0, 5, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
46, 0, 0, 7, 1, 7, 0, 0, 0
94, 0, 0, 16, 2, 13, 0, 0, 0
4, 0, 0, 2, 0, 2, 0, 0, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
16, 0, 0, 3, 0, 10, 0, 1, 0
48, 0, 0, 8, 0, 30, 0, 1, 0
24, 0, 0, 6, 5, 19, 0, 0, 0
34, 1, 0, 7, 3, 18, 0, 1, 0
0, 0, 0, 0, 2, 0, 0, 0, 0
36, 0, 0, 8, 5, 22, 0, 1, 0
222, 3, 0, 46, 24, 140, 0, 3, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
16, 0, 0, 4, 3, 8, 0, 0, 0
22, 0, 0, 5, 3, 10, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 1, 4, 0, 0, 0
12, 0, 0, 2, 1, 10, 0, 0, 0
86, 1, 0, 11, 3, 43, 0, 0, 0
412, 4, 0, 76, 30, 234, 0, 4, 0
503, 5, 0, 103, 44, 286, 0, 5, 0
626, 5, 0, 127, 46, 305, 0, 5, 0
28, 1, 0, 7, 0, 3, 0, 0, 0
698, 7, 0, 143, 51, 333, 0, 5, 0
700, 7, 0, 143, 51, 333, 0, 5, 0
702, 7, 0, 143, 51, 333, 0, 5, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
50, 2, 0, 15, 1, 0, 0, 6, 0
2228, 39, 0, 523, 60, 547, 11, 114, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
14784, 262, 0, 3494, 367, 3494, 76, 774, 0
14792, 262, 0, 3497, 367, 3494, 76, 774, 0
12, 0, 0, 0, 0, 2, 0, 4, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 2, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 1, 0
4, 0, 0, 0, 0, 0, 0, 1, 0
4, 0, 0, 2, 0, 2, 0, 0, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
2, 0, 0, 1, 0, 1, 0, 1, 0
2, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 1, 0, 1, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 1, 0
4, 0, 0, 1, 0, 1, 0, 1, 0
14, 0, 0, 4, 0, 4, 0, 2, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 4, 0, 0, 0
22, 2, 0, 8, 0, 9, 0, 1, 0
6, 2, 0, 2, 0, 10, 0, 0, 0
4, 0, 0, 1, 0, 1, 0, 1, 0
14, 0, 0, 4, 0, 4, 0, 2, 0
0, 0, 0, 0, 0, 3, 0, 0, 0
12, 0, 0, 2, 0, 8, 0, 1, 0
20, 0, 0, 6, 0, 15, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0, 0, 3, 0, 9, 0, 3, 0
